Date,Open,High,Low,Close,Adj Close,Volume
2015-11-24,117.33,119.35,117.12,118.88,111.85,42803200
2015-11-25,119.21,119.23,117.92,118.03,111.05,21388300
2015-11-27,118.29,118.41,117.6,117.81,110.84,13046400
2015-11-30,117.99,119.41,117.75,118.3,111.3,39180300
2015-12-01,118.75,118.81,116.86,117.34,110.4,34852400
2015-12-02,117.34,118.11,116.08,116.28,109.4,33386600
2015-12-03,116.55,116.79,114.22,115.2,108.38,41569500
2015-12-04,115.29,119.25,115.11,119.03,111.99,57777000
2015-12-07,118.98,119.86,117.81,118.28,111.28,32084200
2015-12-08,117.52,118.6,116.86,118.23,111.24,34309500
2015-12-09,117.64,117.69,115.08,115.62,108.78,46361400
2015-12-10,116.04,116.94,115.51,116.17,109.3,29104200
2015-12-11,115.19,115.39,112.85,113.18,106.48,46886200
2015-12-14,112.18,112.68,109.79,112.48,105.83,64318700
2015-12-15,111.94,112.8,110.35,110.49,103.95,53323100
2015-12-16,111.07,111.99,108.8,111.34,104.75,56238500
2015-12-17,112.02,112.25,108.98,108.98,102.53,44772800
2015-12-18,108.91,109.52,105.81,106.03,99.76,96453300
2015-12-21,107.28,107.37,105.57,107.33,100.98,47590600
2015-12-22,107.4,107.72,106.45,107.23,100.89,32789400
2015-12-23,107.27,108.85,107.2,108.61,102.18,32657400
2015-12-24,109.0,109.0,107.95,108.03,101.64,13570400
2015-12-28,107.59,107.69,106.18,106.82,100.5,26704200
2015-12-29,106.96,109.43,106.86,108.74,102.31,30931200
2015-12-30,108.58,108.7,107.18,107.32,100.97,25213800
2015-12-31,107.01,107.03,104.82,105.26,99.03,40635300
2016-01-04,102.61,105.37,102.0,105.35,99.12,67649400
2016-01-05,105.75,105.85,102.41,102.71,96.63,55791000
2016-01-06,100.56,102.37,99.87,100.7,94.74,68457400
2016-01-07,98.68,100.13,96.43,96.45,90.74,81094400
2016-01-08,98.55,99.11,96.76,96.96,91.22,70798000
2016-01-11,98.97,99.06,97.34,98.53,92.7,49739400
2016-01-12,100.55,100.69,98.84,99.96,94.05,49154200
2016-01-13,100.32,101.19,97.3,97.39,91.63,62439600
2016-01-14,97.96,100.48,95.74,99.52,93.63,63170100
2016-01-15,96.2,97.71,95.36,97.13,91.38,79010000
2016-01-19,98.41,98.65,95.5,96.66,90.94,53087700
2016-01-20,95.1,98.19,93.42,96.79,91.06,72334400
2016-01-21,97.06,97.88,94.94,96.3,90.6,52161500
2016-01-22,98.63,101.46,98.37,101.42,95.42,65800500
2016-01-25,101.52,101.53,99.21,99.44,93.56,51794500
2016-01-26,99.93,100.88,98.07,99.99,94.07,75077000
2016-01-27,96.04,96.63,93.34,93.42,87.89,133369700
2016-01-28,93.79,94.52,92.39,94.09,88.52,55678800
2016-01-29,94.79,97.34,94.35,97.34,91.58,64416500
2016-02-01,96.47,96.71,95.4,96.43,90.73,40943500
2016-02-02,95.42,96.04,94.28,94.48,88.89,37357200
2016-02-03,95.0,96.84,94.08,96.35,90.65,45964300
2016-02-04,95.86,97.33,95.19,96.6,91.38,46471700
2016-02-05,96.52,96.92,93.69,94.02,88.94,46418100
2016-02-08,93.13,95.7,93.04,95.01,89.87,54021400
2016-02-09,94.29,95.94,93.93,94.99,89.86,44331200
2016-02-10,95.92,96.35,94.1,94.27,89.17,42343600
2016-02-11,93.79,94.72,92.59,93.7,88.63,50074700
2016-02-12,94.19,94.5,93.01,93.99,88.91,40351400
2016-02-16,95.02,96.85,94.61,96.64,91.42,49057900
2016-02-17,96.67,98.21,96.15,98.12,92.82,44863200
2016-02-18,98.84,98.89,96.09,96.26,91.06,39021000
2016-02-19,96.0,96.76,95.8,96.04,90.85,35374200
2016-02-22,96.31,96.9,95.92,96.88,91.64,34280800
2016-02-23,96.4,96.5,94.55,94.69,89.57,31942600
